product_name	product_url	category	status	stars
Sky King Drone 6 Axis Gyro RC Quadcopter Without camera	https://yoshops.com/products/sky-king-drone-6-axis-gyro-rc-quadcopter-without-camera	Toys & Games	unreviewed	0.0
Toy Family Doll House Set	https://yoshops.com/products/family-doll-set	Toys & Games	unreviewed	0.0
Toy Gundam Robot with Gun (Red)	https://yoshops.com/products/savoir-robot-toy	Toys & Games	unreviewed	0.0
Solanki King Car Bugatti Style Steering Radio Control Rechargeable Car	https://yoshops.com/products/solanki-king-car-radio-control-recharge-car	Toys & Games	unreviewed	0.0
Cheetah Construction Truck with Flash Excavator	https://yoshops.com/products/cheetah-construction-truck-with-flash-excavator	Toys & Games	unreviewed	0.0
Inteligent cute white tom cat with touch recording story & music	https://yoshops.com/products/inteligent-cute-white-tom-cat-with-touch-recording-story-music	Toys & Games	unreviewed	0.0
CHOTTA BHEEM Mini English learning laptop	https://yoshops.com/products/chotta-bheem-mini-english-learning-laptop	Toys & Games	unreviewed	0.0
Bulldozer Hercules Power Driving Super Truck (Yellow)	https://yoshops.com/products/xiongda-bulldozer-hercules-power-driving-super-truck-6000kg-yellow	Toys & Games	unreviewed	0.0
Batman rc Car with Remote Control with Rechargeable Batteries & Charger	https://yoshops.com/products/batman-rc-car-with-remote-control-with-rechargeable-batteries-charger	Toys & Games	unreviewed	0.0
Combo Set of 6 Pull Back Toy Car Small	https://yoshops.com/products/combo-set-of-6-pull-back-toy-car-small	Toys & Games	unreviewed	0.0
"Mini VR BOX Virtual Reality Headsets with ultra 3D glasses Compatible with Android and IOS Devices (Blue, Black)"	https://yoshops.com/products/mini-vr-box-virtual-reality-headsets-with-ultra-3d-glasses-compatible-with-android-and-ios-devices-blue-black	Toys & Games	unreviewed	0.0
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account	https://yoshops.com/products/free-gift-value-of-rs-999-and-get-free-paytm-money-demat-account	Toys & Games	unreviewed	0.0
"Hammer Airflow True Wireless Earbud with Mic (Black & White), 5 Hours Playtime,with Magnetic Charging case (300mah),Built-in Voice Assistant & Bluetooth 5.0"	https://yoshops.com/products/hammer-airflow-true-wireless-earbud-with-mic-black-white-5-hours-playtime-with-magnetic-charging-case-300mah-built-in-voice-assistant-bluetooth-5-0	Toys & Games	unreviewed	0.0
"Kasi yatra set silk cotton fabric decorated with rich kundans, brooches and laces"	https://yoshops.com/products/kasi-yatra-set-silk-cotton-fabric-decorated-with-rich-kundans-brooches-and-laces	Toys & Games	unreviewed	0.0
Wedding Doll Toy	https://yoshops.com/products/wedding-dolls	Toys & Games	unreviewed	0.0
Family Doll and Barbie doll set Toy Combo pack	https://yoshops.com/products/family-doll-and-barbie-doll-set-toy-combo-pack	Toys & Games	unreviewed	0.0
Combo pack Toys Savoir Robot and Barbie doll	https://yoshops.com/products/savoir-robot-and-barbie-doll-toy-combo-pack	Toys & Games	unreviewed	0.0
Kitchen Utensil Cooking Toy Cookware Set	https://yoshops.com/products/plastic-kitchen-utensil-cooking-toy-cookware-set	Toys & Games	unreviewed	0.0
Musical Jazz Drum Set Toy	https://yoshops.com/products/musical-jazz-drum-set-toy	Toys & Games	unreviewed	0.0
Jazz Drum Set with Chair Toy	https://yoshops.com/products/jazz-drum-set-with-chair-toy	Toys & Games	unreviewed	0.0
Train With Track light music battery operated train toy	https://yoshops.com/products/train-with-track-light-music-battery-operated-train-toy	Toys & Games	Reviewd	5.0
Funny Bricks and Blocks Set	https://yoshops.com/products/funny-bricks-and-blocks-set	Toys & Games	unreviewed	0.0
Vogue Girl Beautiful Fashion Doll	https://yoshops.com/products/vogue-girl-beautiful-fashion-doll	Toys & Games	unreviewed	0.0
Flying Avengers Hero Induction Control helicopter	https://yoshops.com/products/flying-avengers-hero-induction-control-helicopter	Toys & Games	unreviewed	0.0
Bowling Game Set 10 Bottles & 2 Balls Multi Colour	https://yoshops.com/products/bowling-game-set-10-bottles-2-balls-multi-colour	Toys & Games	unreviewed	0.0
Sensor Flying Helicopter with charger	https://yoshops.com/products/sensor-flying-helicopter-with-charger	Toys & Games	unreviewed	0.0
BEN 10 Projector Watch	https://yoshops.com/products/ben-10-omniverse-projector-watch	Toys & Games	unreviewed	0.0
Pluto Programmable Smartphone Controlled Nano Drone	https://yoshops.com/products/pluto-programmable-smartphone-controlled-nano-drone	Toys & Games	unreviewed	0.0
Little Chef Kitchen Set With Convertible Suitcase	https://yoshops.com/products/little-chef-playset-with-convertible-suitcase	Toys & Games	unreviewed	0.0
Ultramodern Bullet Train Game Set	https://yoshops.com/products/ultramodern-bullet-train-game-set	Toys & Games	unreviewed	0.0
Hohot Singing Doll (Pink)	https://yoshops.com/products/hohot-singing-doll-pink	Toys & Games	unreviewed	0.0
Plastic Smart Stick Intelligence Educational Building Blocks Construction Kids Toys (Multicolor)	https://yoshops.com/products/plastic-smart-stick-intelligence-educational-building-blocks-construction-kids-toys-multicolor	Toys & Games	unreviewed	0.0
"Musical Dancing Boys with Flashing Lights Toys for Babies,Kids,Girls,Boys"	https://yoshops.com/products/musical-dancing-boys-with-flashing-lights-toys-for-babieskidsgirlsboys	Toys & Games	unreviewed	0.0
3.7V 275mAH Lithium Polymer(LiPo) Rechargeable Battery for RC Drone	https://yoshops.com/products/37v-275mah-lithium-polymerlipo-rechargeable-battery-for-rc-drone	Toys & Games	unreviewed	0.0
Mions Mini Skateboard for Kids with Skating Kit(helmet+elbow+knee)	https://yoshops.com/products/mions-mini-skateboard-for-kids-with-skating-kit-helmet-elbow-knee	Toys & Games	Reviewd	5.0
Big Foot Mini Monster Truck	https://yoshops.com/products/big-foot-mini-monster-truck-red-green-black-blue1	Toys & Games	unreviewed	0.0
"Ladies Small Hand Bag Color(Balck,Pink,Green)"	https://yoshops.com/products/ladies-small-hand-bag-color-balck-pink-green	Toys & Games	unreviewed	0.0
Piggy Bank Saving Coin Box	https://yoshops.com/products/piggy-bank-saving-coin-box	Toys & Games	unreviewed	0.0
Teddy Tiger Home Décor Soft Toy	https://yoshops.com/products/xn-teddy-tiger-home-dcor-soft-toy-sxc	Toys & Games	unreviewed	0.0
Color Clay Set for Kids Children Colors Air Dry Clay	https://yoshops.com/products/color-clay-set-for-kids-children-colors-air-dry-clay	Toys & Games	unreviewed	0.0
Fruits Shape Eraser For Kids Best Birthday Gifts	https://yoshops.com/products/fruits-shape-eraser-for-kids-best-birthday-gifts	Toys & Games	unreviewed	0.0
Magnetic Alphabet Letters and Numbers for Kids Learning	https://yoshops.com/products/magnetic-alphabet-letters-and-numbers-for-kids-learning	Toys & Games	unreviewed	0.0
"Hammer Smart Watch Pulse 2.0 with Blood Oxygen Monitoring,Calling and Activity Tracker"	https://yoshops.com/products/hammer-smart-watch-pulse-2-0-with-blood-oxygen-monitoring-calling-and-activity-tracker	Toys & Games	Reviewd	5.0
Hammer KO 2.0 Sports Truly Wireless Earbuds with Type C Bluetooth 5.0 Headset(Black)	https://yoshops.com/products/hammer-ko-2-0-sports-truly-wireless-earbuds-with-type-c-bluetooth-5-0-headset-black1	Toys & Games	unreviewed	0.0
Hammer Sting Lite In-Ear Wireless Bluetooth Neckband Earphones Black	https://yoshops.com/products/hammer-sting-lite-in-ear-wireless-bluetooth-neckband-earphones-black	Toys & Games	unreviewed	0.0
